시도,시군구,월,사고건수,사망자수,중상자수,경상자수,부상신고자수
서울,종로구,1,88,0,33,64,22
서울,종로구,2,82,1,27,69,18
서울,종로구,3,121,0,48,112,21
서울,종로구,4,136,0,45,117,26
서울,종로구,5,137,0,43,119,30
서울,종로구,6,100,0,45,84,20
서울,종로구,7,111,2,36,104,14
서울,종로구,8,113,1,38,91,19
서울,종로구,9,141,1,35,108,30
서울,종로구,10,137,0,46,115,18
서울,종로구,11,127,1,41,110,18
서울,종로구,12,121,2,34,109,24
서울,중구,1,86,1,35,85,7
서울,중구,2,78,0,37,63,5
서울,중구,3,113,0,54,84,15
서울,중구,4,125,0,51,112,20
서울,중구,5,128,0,50,92,28
서울,중구,6,99,0,33,84,27
서울,중구,7,106,0,37,84,20
서울,중구,8,116,1,49,77,18
서울,중구,9,107,1,25,106,20
서울,중구,10,130,2,37,110,15
서울,중구,11,139,0,48,115,17
서울,중구,12,111,3,44,82,17
서울,용산구,1,118,2,39,122,15
서울,용산구,2,102,1,38,96,11
서울,용산구,3,135,2,47,111,21
서울,용산구,4,111,1,42,95,7
서울,용산구,5,137,1,56,118,13
서울,용산구,6,121,1,43,119,7
서울,용산구,7,127,2,45,108,9
서울,용산구,8,117,1,40,102,20
서울,용산구,9,157,3,45,136,31
서울,용산구,10,137,2,33,141,21
서울,용산구,11,141,0,51,145,21
서울,용산구,12,113,2,34,116,12
서울,성동구,1,87,1,30,67,17
서울,성동구,2,80,1,39,56,13
서울,성동구,3,94,1,39,82,21
서울,성동구,4,104,0,48,79,19
서울,성동구,5,110,0,47,75,14
서울,성동구,6,86,0,31,58,18
서울,성동구,7,113,1,45,92,19
서울,성동구,8,113,3,39,92,25
서울,성동구,9,136,0,56,114,35
서울,성동구,10,105,0,45,90,24
서울,성동구,11,106,0,33,95,20
서울,성동구,12,93,1,37,81,30
서울,동대문구,1,137,3,55,105,12
서울,동대문구,2,123,2,44,124,9
서울,동대문구,3,187,1,72,153,24
서울,동대문구,4,174,2,67,139,29
서울,동대문구,5,190,0,61,160,26
서울,동대문구,6,156,1,47,138,14
서울,동대문구,7,185,1,60,169,25
서울,동대문구,8,163,0,46,141,16
서울,동대문구,9,175,0,57,154,26
서울,동대문구,10,181,1,66,155,21
서울,동대문구,11,202,3,54,171,26
서울,동대문구,12,212,2,73,177,15
서울,성북구,1,100,4,38,95,11
서울,성북구,2,106,1,36,96,9
서울,성북구,3,154,0,64,120,15
서울,성북구,4,120,0,42,109,16
서울,성북구,5,160,5,64,154,13
서울,성북구,6,131,1,54,123,7
서울,성북구,7,143,2,46,109,31
서울,성북구,8,139,0,45,116,20
서울,성북구,9,166,2,46,158,26
서울,성북구,10,163,0,52,149,17
서울,성북구,11,162,1,47,159,11
